Isotope data from http://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl
Material     Z     Atomic weight         File handle
v51          23     50.9439595           z23
cr           24     51.9961              z24
cr50         24     49.9460442           z24
cr52         24     51.9405075           z24
cr53         24     52.9406494           z24
cr54         24     53.9388804           z24
mn           25     54.938045            z25
mn55         25     54.9380451           z25
fe           26     55.845               z26
fe54         26     53.9396105           z26
fe56         26     55.9349375           z26
fe57         26     56.9353940           z26
fe58         26     57.9332756           z26
co           27     58.933195            z27
co59         27     58.9331950           z27
ni           28     58.6934              z28
ni58         28     57.9353429           z28
ni60         28     59.9307864           z28
ni61         28     60.9310560           z28
ni62         28     61.9283451           z28
ni64         28     63.9279660           z28
cu           29     63.546               z29
cu63         29     62.9295975           z29
cu65         29     64.9277895           z29
zn           30     65.38                z30
zn64         30     63.9291422           z30
zn66         30     65.9260334           z30
zn67         30     66.9271273           z30
zn68         30     67.9248442           z30
zn70         30     69.9253193           z30
ga           31     69.723               z31
ga69         31     68.9255736           z31
ga71         31     70.9247013           z31
ge           32     72.64                z32
ge70         32     69.9242474           z32
ge72         32     71.9220758           z32
ge73         32     72.9234589           z32
ge74         32     73.9211778           z32
ge76         32     75.9214026           z32
as           33     74.92160             z33
as75         33     74.9215965           z33
se           34     78.96                z34
se74         34     73.9224764           z34
se76         34     75.9192136           z34
se77         34     76.9199140           z34
se78         34     77.9173091           z34
se80         34     79.9165213           z34
se82         34     81.9166994           z34
br           35     79.904               z35
br79         35     78.9183371           z35
br81         35     80.9162906           z35
kr           36     83.798               z36
kr78         36     77.9203648           z36
kr80         36     79.9163790           z36
kr82         36     81.9134836           z36
kr83         36     82.914136            z36
kr84         36     83.911507            z36
kr86         36     85.91061073          z36
rb           37     85.4678              z37
rb85         37     84.911789738         z37
rb87         37     86.909180527         z37
sr           38     87.62                z38
sr84         38     83.913425            z38
sr86         38     85.9092602           z38
sr87         38     86.9088771           z38
sr88         38     87.9056121           z38
y            39     88.90585             z39
y89          39     88.9058483           z39
zr           40     91.224               z40
zr90         40     89.9047044           z40
zr91         40     90.9056458           z40
zr92         40     91.9050408           z40
zr94         40     93.9063152           z40
zr96         40     95.9082734           z40
nb           41     92.90638             z41
nb93         41     92.9063781           z41
mo           42     95.96                z42
mo92         42     91.906811            z42
mo94         42     93.9050883           z42
mo95         42     94.9058421           z42
mo96         42     95.9046795           z42
mo97         42     96.9060215           z42
mo98         42     97.9054082           z42
mo100        42     99.907477            z42
tc           43     98.0                 z43
tc97         43     96.906365            z43
tc98         43     97.907216            z43
tc99         43     98.9062547           z43
ru           44    101.07                z44
ru96         44     95.907598            z44
ru98         44     97.905287            z44
ru99         44     98.9059393           z44
ru100        44     99.9042195           z44
ru101        44    100.9055821           z44
ru102        44    101.9043493           z44
ru104        44    103.905433            z44
rh           45    102.90550             z45
rh103        45    102.905504            z45
pd           46    106.42                z46
pd102        46    101.905609            z46
pd104        46    103.904036            z46
pd105        46    104.905085            z46
pd106        46    105.903486            z46
pd108        46    107.903892            z46
pd110        46    109.905153            z46
ag           47    107.8682              z47
ag107        47    106.905097            z47
ag109        47    108.904752            z47
cd           48    112.411               z48
cd106        48    105.906459            z48
cd108        48    107.904184            z48
cd110        48    109.9030021           z48
cd111        48    110.9041781           z48
cd112        48    111.9027578           z48
cd113        48    112.9044017           z48
cd114        48    113.9033585           z48
cd116        48    115.904756            z48
in           49    114.818               z49
in113        49    112.904058            z49
in115        49    114.903878            z49
sn           50    118.710               z50
sn112        50    111.904818            z50
sn114        50    113.902779            z50
sn115        50    114.903342            z50
sn116        50    115.901741            z50
sn117        50    116.902952            z50
sn118        50    117.901603            z50
sn119        50    118.903308            z50
sn120        50    119.9021947           z50
sn122        50    121.9034390           z50
sn124        50    123.9052739           z50
sb           51    121.760               z51
sb121        51    120.9038157           z51
sb123        51    122.9042140           z51
te           52    127.60                z52
te120        52    119.904020            z52
te122        52    121.9030439           z52
te123        52    122.9042700           z52
te124        52    123.9028179           z52
te125        52    124.9044307           z52
te126        52    125.9033117           z52
te128        52    127.9044631           z52
te130        52    129.9062244           z52
i            53    126.90447             z53
i127         53    126.904473            z53
xe           54    131.293               z54
xe124        54    123.9058930           z54
xe126        54    125.904274            z54
xe128        54    127.9035313           z54
xe129        54    128.9047794           z54
xe130        54    129.9035080           z54
xe131        54    130.9050824           z54
xe132        54    131.9041535           z54
xe134        54    133.9053945           z54
xe136        54    135.907219            z54
cs           55    132.9054519           z55
cs133        55    132.905451933         z55
ba           56    137.327               z56
ba130        56    129.9063208           z56
ba132        56    131.9050613           z56
ba134        56    133.9045084           z56
ba135        56    134.9056886           z56
ba136        56    135.9045759           z56
ba137        56    136.9058274           z56
ba138        56    137.9052472           z56
la           57    138.90547             z57
la138        57    137.907112            z57
la139        57    138.9063533           z57
ce           58    140.116               z58
ce136        58    135.907172            z58
ce138        58    137.905991            z58
ce140        58    139.9054387           z58
ce142        58    141.909244            z58
pr           59    140.90765             z59
pr141        59    140.9076528           z59
nd           60    144.242               z60
nd142        60    141.9077233           z60
nd143        60    142.9098143           z60
nd144        60    143.9100873           z60
nd145        60    144.9125736           z60
nd146        60    145.9131169           z60
nd148        60    147.916893            z60
nd150        60    149.920891            z60
pm           61    145.0                 z61
pm145        61    144.912749            z61
pm147        61    146.9151385           z61
sm           62    150.36                z62
sm144        62    143.911999            z62
sm147        62    146.9148979           z62
sm148        62    147.9148227           z62
sm149        62    148.9171847           z62
sm150        62    149.9172755           z62
sm152        62    151.9197324           z62
sm154        62    153.9222093           z62
eu           63    151.964               z63
eu151        63    150.9198502           z63
eu153        63    152.9212303           z63
gd           64    157.25                z64
gd152        64    151.9197910           z64
gd154        64    153.9208656           z64
gd155        64    154.9226220           z64
gd156        64    155.9221227           z64
gd157        64    156.9239601           z64
gd158        64    157.9241039           z64
gd160        64    159.9270541           z64
tb           65    158.92535             z65
tb159        65    158.9253468           z65
dy           66    162.500               z66
dy156        66    155.924283            z66
dy158        66    157.924409            z66
dy160        66    159.9251975           z66
dy161        66    160.9269334           z66
dy162        66    161.9267984           z66
dy163        66    162.9287312           z66
dy164        66    163.9291748           z66
ho           67    164.93032             z67
ho165        67    164.9303221           z67
er           68    167.259               z68
er162        68    161.928778            z68
er164        68    163.929200            z68
er166        68    165.9302931           z68
er167        68    166.9320482           z68
er168        68    167.9323702           z68
er170        68    169.9354643           z68
tm           69    168.93421             z69
tm169        69    168.9342133           z69
yb           70    173.054               z70
yb168        70    167.933897            z70
yb170        70    169.9347618           z70
yb171        70    170.9363258           z70
yb172        70    171.9363815           z70
yb173        70    172.9382108           z70
yb174        70    173.9388621           z70
yb176        70    175.9425717           z70
lu           71    174.9668              z71
lu175        71    174.9407718           z71
lu176        71    175.9426863           z71
hf           72    178.49                z72
hf174        72    173.940046            z72
hf176        72    175.9414086           z72
hf177        72    176.9432207           z72
hf178        72    177.9436988           z72
hf179        72    178.9458161           z72
hf180        72    179.9465500           z72
ta           73    180.94788             z73
ta180        73    179.9474648           z73
ta181        73    180.9479958           z73
w            74    183.84                z74
w180         74    179.946704            z74
w182         74    181.9482042           z74
w183         74    182.9502230           z74
w184         74    183.9509312           z74
w186         74    185.9543641           z74
re           75    186.207               z75
re185        75    184.9529550           z75
re187        75    186.9557531           z75
os           76    190.23                z76
os184        76    183.9524891           z76
os186        76    185.9538382           z76
os187        76    186.9557505           z76
os188        76    187.9558382           z76
os189        76    188.9581475           z76
os190        76    189.9584470           z76
os192        76    191.9614807           z76
ir           77    192.217               z77
ir191        77    190.9605940           z77
ir193        77    192.9629264           z77
pt           78    195.084               z78
pt190        78    189.959932            z78
pt192        78    191.9610380           z78
pt194        78    193.9626803           z78
pt195        78    194.9647911           z78
pt196        78    195.9649515           z78
pt198        78    197.967893            z78
au           79    196.966569            z79
au197        79    196.9665687           z79
hg           80    200.59                z80
hg196        80    195.965833            z80
hg198        80    197.9667690           z80
hg199        80    198.9682799           z80
hg200        80    199.9683260           z80
hg201        80    200.9703023           z80
hg202        80    201.9706430           z80
hg204        80    203.9734939           z80
tl           81    204.3833              z81
tl203        81    202.9723442           z81
tl205        81    204.9744275           z81
pb           82    207.2                 z82
pb204        82    203.9730436           z82
pb206        82    205.9744653           z82
pb207        82    206.9758969           z82
pb208        82    207.9766521           z82
bi           83    208.98040             z83
bi209        83    208.9803987           z83
po           84    209.0                 z84
po209        84    208.9824304           z84
po210        84    209.9828737           z84
at           85    210.0                 z85
at210        85    209.987148            z85
at211        85    210.9874963           z85
rn           86    222.0                 z86
rn211        86    210.990601            z86
rn220        86    220.0113940           z86
rn222        86    222.0175777           z86
fr           87    223.0                 z87
fr223        87    223.0197359           z87
ra           88    226.0                 z88
ra223        88    223.0185022           z88
ra224        88    224.0202118           z88
ra226        88    226.0254098           z88
ra228        88    228.0310703           z88
ac           89    227.0                 z89
ac227        89    227.0277521           z89
th           90    232.03806             z90
th230        90    230.0331338           z90
th232        90    232.0380553           z90
pa           91    231.03588             z91
pa231        91    231.0358840           z91
u            92    238.02891             z92
u233         92    233.0396352           z92
u234         92    234.0409521           z92
u235         92    235.0439299           z92
u236         92    236.0455680           z92
u238         92    238.0507882           z92
np           93    237.0                 z93
np236        93    236.046570            z93
np237        93    237.0481734           z93
pu           94    244.0                 z94
pu238        94    238.0495599           z94
pu239        94    239.0521634           z94
pu240        94    240.0538135           z94
pu241        94    241.0568515           z94
pu242        94    242.0587426           z94
pu244        94    244.064204            z94
am           95    243.0                 z95
am241        95    241.0568291           z95
am243        95    243.0613811           z95
cm           96    247.0                 z96
cm243        96    243.0613891           z96
cm244        96    244.0627526           z96
cm245        96    245.0654912           z96
cm246        96    246.0672237           z96
cm247        96    247.070354            z96
cm248        96    248.072349            z96
bk           97    247.0                 z97
bk247        97    247.070307            z97
bk249        97    249.0749867           z97
cf           98    251.0                 z98
cf249        98    249.0748535           z98
cf250        98    250.0764061           z98
cf251        98    251.079587            z98
cf252        98    252.081626            z98
es           99    252.0                 z99
es252        99    252.082980            z99
fm          100    257.0                 z100
fm257       100    257.095105            z100
md          101    258.0                 z101
md258       101    258.098431            z101
md260       101    260.10365             z101
no          102    259.0                 z102
no259       102    259.10103             z102
lr          103    262.0                 z103
lr262       103    262.10963             z103
rf          104    265.0                 z104
rf265       104    265.11670             z104
db          105    268.0                 z105
db268       105    268.12545             z105
sg          106    271.0                 z106
sg271       106    271.13347             z106
bh          107    272.0                 z107
bh272       107    272.13803             z107
hs          108    270.0                 z108
hs270       108    270.13465             z108
mt          109    276.0                 z109
mt276       109    276.15116             z109
ds          110    281.0                 z110
ds281       110    281.16206             z110
rg          111    280.0                 z111
rg280       111    280.16447             z111
cn          112    285.0                 z112
cn285       112    285.17411             z112
nh          113    284.0                 z113
nh          113    284.17808             z113
fl          114    289.0                 z114
fl          114    289.18728             z114
mc          115    288.0                 z115
mc          115    288.19249             z115
lv          116    293.0                 z116
lv          116    293.0                 z116
ts          117    292.0                 z117
ts          117    292.20755             z117
og          118    294.0                 z118
og          118    294.0                 z118
h2o          10     18.01528             h2o
water        10     18.01528             h2o
d2o          10     20.0276035556        d2o
heavy_water  10     20.0276035556        d2o
